short	year	type	claim	why_it_matters	caveat	url
BigMHC	2023	predictor	Pan-allelic deep models for MHC-I presentation and transfer-learned neoepitope immunogenicity.	Strong public competitor and example of presentation-to-immunogenicity transfer learning.	Uses public datasets including TESLA, IEDB, NEPdb and prior predictor resources; clean benchmark overlap must be audited.	https://www.nature.com/articles/s42256-023-00694-6
PRIME	2021	predictor	Combines antigen presentation and TCR-recognition propensity for CD8 epitope immunogenicity.	Canonical immunogenicity predictor beyond binding affinity.	Binding and TCR-recognition components can still inherit public-corpus and allele-motif biases.	https://pmc.ncbi.nlm.nih.gov/articles/PMC7897774/
IMPROVE	2024	predictor_dataset	Feature model from broad-scale validation of 17,520 neoepitope candidates with 467 recognized across 70 patients.	One of the strongest current examples of clinically grounded, patient-level neoepitope screening data.	Includes patient and tumor-context features that may not be available in all deployment settings.	https://pubmed.ncbi.nlm.nih.gov/38633261/
Muller_Immunity	2023	benchmark_dataset	Harmonized WES/RNA-seq neoantigen datasets and ML ranking improved immunogenicity prediction.	Shows source harmonization and feature engineering can materially change rankings.	Even harmonized datasets remain sparse relative to HLA/peptide/source space.	https://pubmed.ncbi.nlm.nih.gov/37816353/
TESLA	2020	benchmark_consortium	Consortium benchmark identified key parameters for tumor epitope immunogenicity.	Central public benchmark used by many downstream predictors.	Because it is central, overlap-sensitive validation must be treated carefully.	https://www.cell.com/cell/fulltext/S0092-8674(20)31119-9
Rojas_PDACH_mRNA	2023	clinical_vaccine	Personalized RNA neoantigen vaccine induced T cell responses in pancreatic cancer; responders had delayed recurrence.	Clinical motivation for better neoantigen selection in low-response settings.	Small early-phase study; response correlation is not the same as broad clinical validation.	https://www.nature.com/articles/s41586-023-06063-y
PDAC_extended_followup	2025	clinical_vaccine	Extended follow-up reported persistent neoantigen-specific CD8 T cells and continued RFS association.	Supports durable immunologic relevance of correctly selected vaccine targets.	Still a specialized clinical setting and not a direct predictor benchmark.	https://www.nature.com/articles/s41586-024-08508-4
RCC_neoantigen_vaccine	2025	clinical_vaccine	Phase I personalized neoantigen vaccine in renal cell carcinoma generated antitumor immunity.	Shows feasibility even in lower mutation-burden tumors.	Nine-patient phase I study; not definitive efficacy evidence.	https://www.nature.com/articles/s41586-024-08507-5
mRNA_4157_KEYNOTE_942	2024	clinical_vaccine	Individualized mRNA neoantigen therapy plus pembrolizumab improved melanoma disease-control signals in phase 2b.	Commercial and clinical proof that ranking matters at product scale.	Vaccine design pipeline is proprietary and not a transparent predictor benchmark.	https://doi.org/10.1016/S0140-6736(23)02268-7
Performance_ceiling_commentary	2023	perspective	Current dataset biases and limited high-quality data constrain neoantigen prediction generalizability.	Frames the review's central problem: benchmark quality can dominate apparent method quality.	Perspective article; should be paired with quantitative benchmark evidence.	https://www.nature.com/articles/s43018-023-00675-z
Personalized_vaccine_review_2025	2025	review	Recent review of personalized neoantigen vaccine platforms and implementation challenges.	Useful clinical and translational framing.	Broad review; this manuscript should differentiate by focusing on prioritization and benchmarking.	https://www.frontiersin.org/journals/oncology-reviews/articles/10.3389/or.2025.1541326/full
