paper_slot	content	asset	manuscript_position	takeaway
Main Fig 1	Study logic and data provenance	PF01 + PF02 combined	Introduction/overview	public data as prior, Yu as feasibility, hospital as future test
Main Fig 2	Mutation/state heterogeneity	F03 + F04	Results 1	BRAF/mutation alone is insufficient
Main Fig 3	Spatial tissue-state organization	F05 + source spatial coherence	Results 2	tissue state is organized, not random
Main Fig 4	Marker context and module support	F06 + F07 + PF10	Results 3-4	marker panel is biologically motivated but not validated
Main Fig 5	CTC-EMT-NGS interpretation framework	PF03 + F08	Results 5	phenotype must be clone-anchored
Main Fig 6	Dataset gap and future unlock	PF04 + PF12	Discussion	current paper stops before discovery claims
Main Fig 7	Claim boundary and reviewer defense	PF05 + PF07	Discussion/Reviewer defense	explicit allowed/forbidden claim boundary
Supplementary Fig S1	CV2 visual atlas	PF08	Supplement/meeting	all visual assets in one board
Supplementary Fig S2	Publishability decision	F09	Internal supplement	paper route decision
Supplementary Tables	All data dictionaries and manifests	TSV tables	Methods/Supplement	reproducible provenance
