topic_id	topic	rank_after_haiku	grade_after_haiku	score_after_haiku	headline	pilot_update	next_gate
T00	CNV-defined true-driver-negative residual class	1	A-	91	True driver-negative thyroid cancers contain a recurrent arm-CNV residual class concentrated in DM2/FVPTC-like tumors.	cBioPortal ARMDRIVER_CN independently supports the Class6-DM2 signature: 35.4% vs 1.3%, p=1.6e-7.	Adjust for FVPTC/Hurthle/purity and move toward manuscript figures.
T02	Tumor-specific TROP2 spatial niche	2	A-	90	Bulk-negative TROP2 is rescued as a tumor-specific spatial niche rather than a whole-tumor expression marker.	Haiku-lite pilot: morphology-only rho=-0.044, clinical text rho=0.372, morphology+text rho=0.564, AUROC q75=0.844.	Keep as spatial niche; add IHC/IF or actual retrieval-based validation.
T12	Thyroid-Haiku-lite multimodal retrieval atlas	3	B+	83	Clinical-text conditioned retrieval can separate morphology-visible thyroid programs from molecularly hidden lineage programs.	New pilot supports TROP2 as context-recoverable but not morphology-only; DM1/RAI remain weak/moderate.	Implement real retrieval/contrastive embedding and evidence-grounded counterfactual prompts.
T01	DICER1/DGCR8 GeoMx progression route	4	B+	84	DICER1/DGCR8-associated lesions trace a compartment-resolved route from microPTC to PDTC.	GSE301163 GeoMx remains supportive, but genotype/histology are partially confounded.	Patient-stratified model and separate DICER1 vs DGCR8 from histology.
T04	CAF/ECM ligand remodeling	5	B+	82	CAF/ECM ligand programs track spatial thyroid-lineage loss and bulk RAI suppression.	Useful as a multimodal retrieval reference axis; not upgraded by Haiku alone.	Separate stromal abundance from tumor-intrinsic lineage loss.
T07	Immune/TLS protective paradox	6	B+	82	Immune-rich thyroid cancers may represent a protective indolence axis rather than generic aggressive inflammation.	Still clinically interesting; can become T12 immune retrieval target.	External survival cohort; separate Hashimoto-like immune context.
T03	Hashimoto-overlap PTC TLS niche	7	B	78	Hashimoto-overlap PTC contains spatially organized TLS/B-cell/IGHV niches.	Good spatial organization, n=4 dominates.	Independent PTC+HT cohort or local IF/IHC.
T06	NIS/SLC5A5 non-methylation silencing exception	8	B	75	NIS loss separates from broader methylation-driven RAI-lineage silencing.	Mechanism follow-up, not Haiku-upgraded.	Add histone/miRNA/TF evidence.
T08	DICER1/EIF1AX rare-driver residual class	9	B-	68	Rare DICER1/EIF1AX-mutant PTC may bridge genomics and miRNA biology.	TCGA n=7 remains limiting.	Pool TCGA/K2/GeoMx.
T05	Spatial checkpoint ligand-receptor routes	10	B-	68	ATC/LPTC may route through localized LGALS9-HAVCR2, CXCL10-CXCR3, CCL5-CCR5 circuits.	Useful but overlap risk with recent thyroid spatial atlas.	Cross-check against JCI Insight atlas; avoid ICI response claims.
T11	ATC spatial coherence collapse	11	B	70	ATC progression collapses differentiation coherence while creating stress/immune/hypoxia organized regions.	GATCI CNA context supports advanced-CNA progression, but spatial n=4 persists.	Independent ATC spatial or GeoMx PDTC/ATC validation.
T10	Morphology-invisible DM/RAI axis	12	negative-use-only	60	Routine morphology does not recover the RAI/DM axis.	Haiku-lite confirms weak DM1/RAI recoverability; use as boundary condition inside T12.	Do not pitch standalone.
T09	TERT-only triple-negative high-risk microclass	13	C	55	Tiny TERT-only residual class may carry recurrence risk.	n=5 too small.	Needs external TERT-rich cohort.
