status	statement	support	boundary
Allowed	Yu 2024 supports feasibility of serial CTC-EMT measurement in PTC	Slide 3; literature anchor row	published summary, not local raw reanalysis
Allowed	Public omics show thyroid cancer tissue-state heterogeneity beyond mutation	Fig. 3; TCGA BRAF tables	tissue-state support only
Allowed	Spatial data support organized tissue-state context	Fig. 4; spatial coherence table	not CTC origin proof
Allowed	scRNA/proteomics support marker-prior selection	Fig. 5; marker table	not blood validation
Allowed	Matched tissue-normal NGS is needed to interpret postoperative blood signals	Fig. 6-7; NGS map	proposal logic
Forbidden	Our cohort proves thyroidectomy-induced CTC-EMT transition	none	requires Yu/hospital raw serial CTC data
Forbidden	Public pilot proves CTC shedding	none	public pilot is tissue/bulk/spatial only
Forbidden	CTC/cfDNA NGS will work in every early PTC patient	none	must be stage-gated by QC
Forbidden	This is a ready clinical diagnostic	none	research-grade monitoring framework only
Forbidden	Inocras/vendor method is the novelty	none	vendor is infrastructure
