claim_id,claim_text,paper,required_data_zone,allowed_datasets,forbidden_datasets,allowed_evidence_type,forbidden_evidence_type,claim_strength,needs_validation,notes
P1_C1,Paper 1 DM1/DM2 resolves the BRAF/RAS-negative PTC compartment,Paper 1,PAPER1_CANCER_CORE,"P1_TCGA_THCA;P1_TCGA_PANCAN_2018;P1_TCGA_THCA_PUB;P1_KOREAN_K2_LEE;P1_GSE286332;P1_GSE33630;P1_GSE76039;P1_MSK_LANDA_2016","PAPER2_HLA_AUTOIMMUNE/*;REFERENCE_POPULATION_HLA/*;BRIDGE_QUARANTINE_HT_PTC/*",Tumor expression + mutation status + driver-stratified contrasts,HLA-allele or HLA-cancer claim; bridge alone,STRONG,Korean K2+Lee n=865 already validates,Pillar 1 of Paper 1
P1_C2,Paper 1 DM1 enriches fusion-positive tumors,Paper 1,PAPER1_CANCER_CORE,"P1_TCGA_THCA;P1_TCGA_PANCAN_2018;P1_KOREAN_K2_LEE;P1_GENIE_THYROID;P1_MSK_LANDA_2016","PAPER2_HLA_AUTOIMMUNE/*;REFERENCE_POPULATION_HLA/*",Cancer mutation + RNA fusion calls,HLA data,STRONG,Cross-cohort fusion-status overlay required for full validation,GENIE adds independent fusion catalog
P1_C3,Paper 1 DM1 has thyroid-differentiation / RAI-lineage silencing,Paper 1,PAPER1_CANCER_CORE,"P1_TCGA_THCA;P1_TCGA_PANCAN_2018;P1_KOREAN_K2_LEE;P1_GSE151179;P1_GSE104260;P1_GSE76096;P1_GSE54958;P1_GSE51090;P1_GSE53051","PAPER2_HLA_AUTOIMMUNE/*;REFERENCE_POPULATION_HLA/*",Expression + methylation tumor-only,HLA allele data,STRONG,RAI-refractory cohorts independently confirm,GSE151179 RAI-dediff axis already supports
P1_C4,Paper 1 DM1 sub-B (TCGA n=56) is NBNR-equivalent and partially Hashimoto-like,Paper 1,PAPER1_CANCER_CORE,"P1_TCGA_THCA;P1_GSE286332","PAPER2_HLA_AUTOIMMUNE/*;REFERENCE_POPULATION_HLA/*",Expression + sample-level mutation status; HT-overlap signature transferred from GSE286332 to TCGA,HLA allele claim or HT-susceptibility claim,STRONG,Validated within Paper-1 zone via expression-only; HLA strictly excluded,Per memory v17_D6P7_dm1_subB_NBNR + v17_D4P2_tcga_hashimoto_generalization
P1_C5,DM1 spatial niche organization replicates across cohorts,Paper 1,PAPER1_CANCER_CORE,"P1_GSE250521;P1_GSE248205;P1_GSE242530;P1_GSE184362","PAPER2_HLA_AUTOIMMUNE/*;BRIDGE_QUARANTINE_HT_PTC/* (for HLA claims only)",Spatial + scRNA-seq tumor data,HLA allele claim,MEDIUM,Cross-platform spatial validation pending,Spatial supplement S_F* covers extensively
P1_C6,RAI re-induction is feasible in DM1 sub-B (translational candidate),Paper 1,PAPER1_CANCER_CORE,"P1_TCGA_THCA;P1_GSE151179;P1_GSE104260;P1_GSE76096;P1_DEPMAP_THYROID;P1_CCLE_THYROID","PAPER2_HLA_AUTOIMMUNE/*;REFERENCE_POPULATION_HLA/*",Pre/post-RAI expression + cell-line perturbation,HLA allele claim; in vivo prognosis transfer from cell lines,WEAK,Prospective trial required,Framing claim only — Paper 1 stops at translational candidate
P1_C7,DM1 promoter methylation is conserved across external cohorts,Paper 1,PAPER1_CANCER_CORE,"P1_TCGA_THCA;P1_GSE54958;P1_GSE51090;P1_GSE53051","PAPER2_HLA_AUTOIMMUNE/*",Methylation 450K/EPIC arrays,HLA allele claim,MEDIUM,Cross-platform methylation validation pending,External methylation cohorts require download per plan
P2_C1,Certain HLA alleles are candidates for future validation in AITD/HT-overlap context,Paper 2,PAPER2_HLA_AUTOIMMUNE,"P2_SHIN_2019;P2_CHO_2011;P2_PARK_2005;P2_JANG_2011;P2_BAEK_2021;P2_AFND_KOR;P2_AFND_EAS;P2_KMDP_HLA;P2_KOR_5802;P2_GWAS_HASHIMOTO;P2_GWAS_GRAVES;P2_GWAS_TPO_AB","PAPER1_CANCER_CORE/* (cancer survival / DM1 / RAI / fusion / BRAF/RAS/TERT)",HLA typing + AITD literature + Korean reference,Cancer survival; DM1; RAI response; fusion; BRAF/RAS/TERT,EXPLORATORY,Prospective Korean HT-overlap PTC HLA cohort required,Forbidden words list per memory v18_paper2_HT_isolated must hold
P2_C2,Korean population HLA baseline differs from other ancestry references,Paper 2,REFERENCE_POPULATION_HLA,"P2_AFND_KOR;P2_AFND_EAS;P2_AFND_GLOBAL;P2_KOR_5802;P2_PARK_2010_KORHLA;P2_BAEK_2021;P2_KMDP_HLA;P2_HLA_NET_KOR;P2_IPD_IMGT_HLA;P2_PANUKBB","PAPER1_CANCER_CORE/* (any cancer cohort)",AFND + Korean reference panels + IPD allele names,Cancer cohorts for HLA typing; pan-cancer outcome data,STRONG,Distinguish allele frequency vs carrier frequency,Mandatory ancestry caveat in every figure/table
P2_C3,GD-specific HLA signal is distinct from HT signal in Korean cohorts,Paper 4 reserve,PAPER2_HLA_AUTOIMMUNE,"P2_PARK_2005;P2_JANG_2011;P2_CHU_2018_GD;P2_HEWARD_UK_GD;P2_VAIDYA_UK_GD;P2_TOMER_GD_HLA;P2_GWAS_GRAVES;P2_FINNGEN_GRAVES;P2_AFND_GRAVES_REF","PAPER1_CANCER_CORE/*",GD-specific HLA typing + GWAS,HT generalization without explicit caveat; cancer claim,EXPLORATORY,Paper 4 reserve only,Per 2026-05-04 reframe Chu 2018 GD comparator → Paper 4 reserve
