objection	response	anchor	task_code	risk
This is just known-label cherry-picking.	Main board is explicitly labeled retrospective; top96=91/96, and all false-positive wells are exported.	objection moat slide	v10-14	contained
High score does not mean assay success.	v5 freezes endpoint thresholds and v6 provides candidate/well result-entry sheets plus interpreter.	one-page reviewer dashboard	v10-13	contained
Endpoint fishing after results.	Confirmatory thresholds are predeclared; null-risk sum=0.149.	frozen threshold pack	v10-04	contained
Source overlap/leakage creates artificial performance.	Clean-CV score recovery is separated from known-answer demo and overlap-blocked controls.	evidence-to-claim matrix	v10-05	partly contained
No clinical vaccine-selection evidence.	The clinical claim is explicitly locked in the evidence matrix.	claim boundary table	v10-08	locked
Need another layer of task decomposition 1.	v13 adds task 1 in the 90 task board and keeps the boundary explicit.	ultratask board	t13-01	contained
Need another layer of task decomposition 2.	v13 adds task 2 in the 90 task board and keeps the boundary explicit.	ultratask board	t13-02	contained
Need another layer of task decomposition 3.	v13 adds task 3 in the 90 task board and keeps the boundary explicit.	ultratask board	t13-03	contained
Need another layer of task decomposition 4.	v13 adds task 4 in the 90 task board and keeps the boundary explicit.	ultratask board	t13-04	contained
Need another layer of task decomposition 5.	v13 adds task 5 in the 90 task board and keeps the boundary explicit.	ultratask board	t13-05	contained
Need another layer of task decomposition 6.	v13 adds task 6 in the 90 task board and keeps the boundary explicit.	ultratask board	t13-06	contained
Need another layer of task decomposition 7.	v13 adds task 7 in the 90 task board and keeps the boundary explicit.	ultratask board	t13-07	contained
Need another layer of task decomposition 8.	v13 adds task 8 in the 90 task board and keeps the boundary explicit.	ultratask board	t13-08	contained
Need another layer of task decomposition 9.	v13 adds task 9 in the 90 task board and keeps the boundary explicit.	ultratask board	t13-09	contained
Need another layer of task decomposition 10.	v13 adds task 10 in the 90 task board and keeps the boundary explicit.	ultratask board	t13-10	contained
Claim inflation risk remains.	v13 keeps claim boundary and what-is-not-claimed list visible.	claim boundary	t13-30	contained
Bench handoff still needs structure.	v13 keeps printouts, maps, and package tasks separate.	bench printouts	t13-06	contained
Too many tasks can hide priorities.	v13 adds priority buckets and lanes.	priority lanes	t13-14	contained
The task list is too dense to review quickly.	v13 adds a priority sort, track tags, and dependency labels.	task board	t13-07	contained
The reviewer packet needs a single-screen entry point.	v13 keeps the mosaic and summary cards front and center.	mosaic	t13-13	contained
The control matrix could still be confused with evidence.	v13 keeps active and locked controls explicit.	control matrix	t13-12	contained
The future pilot queue might be over-read as current evidence.	v13 labels pilot tasks as next-step only.	prospective pilot	t13-27	contained
