reviewer_objection	response_anchor	status	action
This is just known-label cherry-picking.	objection moat slide	contained	answer in deck and task board
High score does not mean assay success.	one-page reviewer dashboard	contained	answer in deck and task board
Endpoint fishing after results.	frozen threshold pack	contained	answer in deck and task board
Source overlap/leakage creates artificial performance.	evidence-to-claim matrix	partly contained	answer in deck and task board
No clinical vaccine-selection evidence.	claim boundary table	locked	answer in deck and task board
Need one-page summary of the whole story.	summary cards	contained	use the one-screen board
Need figure captions that carry the boundary.	caption pack	contained	use safe captions only
Need a decision ladder from evidence to claim.	decision ladder	contained	keep claim ladder locked
Need clear next steps.	task board	contained	point to task backlog
Need a hard number that matters.	known-answer + risk	contained	91/96 and 0.149
