topic_id	topic	rank_hint	grade	score	headline	pilot_result	next_gate
T02	T02 tumor-specific TROP2 spatial niche	3	A-	90	Bulk-negative TROP2 is rescued as a tumor-specific spatial niche rather than a whole-tumor expression marker.	PTC/LPTC Visium slides show high TROP2 spatial autocorrelation versus normal/autoimmune controls.	Keep as spatial-niche biology, not ADC vulnerability; add GeoMx/IF/IHC if pursuing high-tier.
T00	T00 CNV-defined true-driver-negative residual class	1	B+	84	True driver-negative thyroid cancers contain a recurrent arm-CNV residual class concentrated in DM2/FVPTC-like tumors.	CNV signature marks Class6-DM2 far more than Class6-DM1; top arms include 7p/7q gain, 2p/2q loss, 16p/16q gain, 12q gain.	Validate from independent GDC/cBioPortal GISTIC source; adjust for FVPTC/Hurthle histology and purity.
T01	T01 miRNA-biogenesis-defective progression route (DICER1/DGCR8 GeoMx)	2	B+	84	DICER1/DGCR8-associated lesions trace a compartment-resolved route from microPTC to PDTC with lineage loss and immune/stromal divergence.	GeoMx n=78 ROI supports a PDTC-vs-microPTC lineage drop and HLA/DM-axis shifts, but genotype/histology are partially confounded.	Patient-stratified model; separate DICER1 from DGCR8 and histology; add CNV/DM overlay if possible.
T04	T04 CAF/ECM ligand remodeling as a suppressor context for thyroid-lineage/RAI programs	5	B+	82	A conserved CAF/ECM ligand program tracks spatial thyroid-lineage loss and bulk RAI suppression in driver-negative tumors.	DCN/COL1A2/SFRP2/COL1A1 are top spatial ligands; TCGA driver-negative CAF/M1_M2 modules correlate negatively with RAI.	Disentangle stromal abundance from tumor-cell intrinsic loss; validate with GeoMx VIM vs PanCK compartments.
T07	T07 immune/TLS protective paradox in thyroid cancer	7	B+	82	Immune-rich/TLS-like thyroid cancers may represent a protective indolence axis rather than a generic aggressive inflammation axis.	DSS HRs for M1_M2/CD8 are protective in TCGA; TLS trends protective but needs morphology-level validation.	Validate in independent survival cohort and separate Hashimoto-like immune context from tumor immune escape.
T03	T03 Hashimoto-overlap PTC TLS / B-cell / IGHV spatial niche	4	B	78	Hashimoto-overlap PTC contains spatially organized TLS/B-cell/IGHV niches visible directly in tissue.	4/4 GSE230424 slides show organized HLA-II/B-cell/TLS/IGHV Moran patterns; n=4 is the main limitation.	Independent PTC+HT cohort or local IF/IHC; maintain no causal HT-to-cancer language.
T06	T06 NIS/SLC5A5 non-methylation silencing exception	6	B	75	RAI-lineage silencing splits into methylation-driven hormone-biosynthesis loss and non-methylation NIS/SLC5A5 loss.	TPO/TG/TSHR/PAX8 show strong methylation effects; SLC5A5/NIS is the outlier with nonsignificant promoter methylation.	Add histone/miRNA/TF motif evidence; this is mechanism-follow-up, not standalone clinical biomarker yet.
T08	T08 DICER1/EIF1AX rare-driver FVPTC-like residual class	8	B-	68	DICER1/EIF1AX-mutant PTC forms a rare FVPTC-like differentiated residual class that may bridge genomics and miRNA-biogenesis biology.	TCGA n=7 is small but heavily DM2-like with high RAI/TDS and low methylation; K2 rare-driver evidence exists but needs harmonization.	Pool TCGA + K2 + GeoMx DICER1 lesion data; do not pitch as standalone until n improves.
T05	T05 spatial immune-checkpoint ligand-receptor routes in aggressive thyroid cancer	9	B-	68	ATC/LPTC progression may route through spatially localized LGALS9-HAVCR2, CXCL10-CXCR3, and CCL5-CCR5 immune-checkpoint circuits.	ATC dominates the top ligand-receptor activity rows, but this is spatial-signature only and sample-limited.	Cross-check against the 2026 JCI Insight atlas and avoid ICI-response claims without treated cohorts.
T11	T11 ATC spatial coherence collapse with single-sample super-organization	9	B-	68	ATC progression collapses thyroid differentiation spatial coherence while creating stress/immune/hypoxia super-organized regions.	Spatial v12 shows differentiation collapse in ATC and an outlier-like highly organized ATC sample, but n=4 ATC and n=1 outlier caveats dominate.	Keep supplementary unless an independent ATC spatial cohort or GeoMx PDTC/ATC validation supports it.
T10	T10 morphology-invisible RAI/DM molecular axis	10	negative-use-only	60	Routine morphology does not recover the RAI/DM transcriptomic axis, arguing for molecular readouts rather than H&E surrogates.	Closure battery stays near random (max |Spearman| < 0.1; AUROC near 0.55).	Use as negative-control/methods paper or supplement; not a wet-lab biology headline.
T09	T09 TERT-only triple-negative high-risk microclass	11	C	55	A tiny TERT-only residual class may carry disproportionate recurrence risk.	PFI event rate appears high but TCGA n=5 is too small for a paper.	External TERT-rich cohort or MSK/GENIE-level expansion required; hold as section only.
