lead	mutant_peptide	hla	stage_order	milestone	pass_criterion	claim_allowed_after_pass	claim_still_forbidden	current_status	impact_level_if_passed
KRAS_G12D_HLA_C0802	GADGVGKSAL	HLA-C*08:02	1	computational_prioritization	Top candidate under strict threshold board; source/label caveats visible.	high-priority wetlab candidate	universal predictor or clinical utility	DONE_OR_IN_PROGRESS	moderate
KRAS_G12D_HLA_C0802	GADGVGKSAL	HLA-C*08:02	2	structure_md_audit	Peptide remains pMHC-stable and TCR-peptide contacts persist in pilot MD.	structure-supported plausibility	immunogenicity proof	DONE_OR_IN_PROGRESS	moderate
KRAS_G12D_HLA_C0802	GADGVGKSAL	HLA-C*08:02	3	wt_decoy_specificity	Mutant exceeds WT and decoy in HLA binding/stability and multimer/TCR recognition.	mutation-specific recognition in tested context	general patient-level response	NEXT_GATE	high
KRAS_G12D_HLA_C0802	GADGVGKSAL	HLA-C*08:02	4	activation_assay	Mutant induces ELISpot/ICS cytokine response above WT, decoy, and irrelevant peptide.	assay-specific immunogenicity	clinical efficacy	NEXT_GATE	very_high
KRAS_G12D_HLA_C0802	GADGVGKSAL	HLA-C*08:02	5	functional_killing	Matched HLA/mutation target cells are killed while WT/decoy/mismatched controls remain negative.	functional specificity in the tested system	safety or therapeutic benefit	NEXT_GATE	very_high
KRAS_G12D_HLA_C0802	GADGVGKSAL	HLA-C*08:02	6	external_reproducibility	Heldout cohort/source or independent lab reproduces candidate ranking and assay signal.	externally supported prioritization	broad clinical generalization	NEXT_GATE	publication_defense
TP53_R175H_HLA_A0201	HMTEVVRHC	HLA-A*02:01	1	computational_prioritization	Top candidate under strict threshold board; source/label caveats visible.	high-priority wetlab candidate	universal predictor or clinical utility	DONE_OR_IN_PROGRESS	moderate
TP53_R175H_HLA_A0201	HMTEVVRHC	HLA-A*02:01	2	structure_md_audit	Peptide remains pMHC-stable and TCR-peptide contacts persist in pilot MD.	structure-supported plausibility	immunogenicity proof	DONE_OR_IN_PROGRESS	moderate
TP53_R175H_HLA_A0201	HMTEVVRHC	HLA-A*02:01	3	wt_decoy_specificity	Mutant exceeds WT and decoy in HLA binding/stability and multimer/TCR recognition.	mutation-specific recognition in tested context	general patient-level response	NEXT_GATE	high
TP53_R175H_HLA_A0201	HMTEVVRHC	HLA-A*02:01	4	activation_assay	Mutant induces ELISpot/ICS cytokine response above WT, decoy, and irrelevant peptide.	assay-specific immunogenicity	clinical efficacy	NEXT_GATE	very_high
TP53_R175H_HLA_A0201	HMTEVVRHC	HLA-A*02:01	5	functional_killing	Matched HLA/mutation target cells are killed while WT/decoy/mismatched controls remain negative.	functional specificity in the tested system	safety or therapeutic benefit	NEXT_GATE	very_high
TP53_R175H_HLA_A0201	HMTEVVRHC	HLA-A*02:01	6	external_reproducibility	Heldout cohort/source or independent lab reproduces candidate ranking and assay signal.	externally supported prioritization	broad clinical generalization	NEXT_GATE	publication_defense
